text,Pattern Category,label
ONLY 1 ITEM LEFT!,Scarcity,1
Perhaps you could...,Not Dark Pattern,0
Only 2 left in stock!,Scarcity,1
135 people have this in their cart,Social Proof,2
Celebrity Synthetic Wigs,Not Dark Pattern,0
Price Guaranteed For DAYS/HRS/MINS/SECS,Urgency,3
Awntech New Yorker Window/Entry Slope Awnin ...,Not Dark Pattern,0
 SAF Warriors ,Not Dark Pattern,0
Sunwayfoto,Not Dark Pattern,0
Only 65 Items Left.,Scarcity,1
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,Not Dark Pattern,0
POPULAR 62 others checked this out in the last few hours.,Social Proof,2
IN HIGH DEMAND!,Scarcity,1
Hurry up! Only 4 left in stock,Scarcity,1
 Cayman Islands USD,Not Dark Pattern,0
"No Thanks, I Don't Want To Save",Misdirection,4
407 customers have viewed this item recently,Social Proof,2
Holland Cooper,Not Dark Pattern,0
"No thank you, I prefer to pay for shipping.",Misdirection,4
Yaris Remotes,Not Dark Pattern,0
"No thanks, I will pay full price.",Misdirection,4
 New In Lunch Boxes ,Not Dark Pattern,0
Shop all,Not Dark Pattern,0
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Social Proof,2
Speak with our customer-care executive who will help you with your buying.,Not Dark Pattern,0
Call It Spring,Not Dark Pattern,0
Only 14 left,Scarcity,1
ONLY 1 LEFT,Scarcity,1
only 2 left,Scarcity,1
Enter Catalog/Email Code,Not Dark Pattern,0
 View All Shoes ,Not Dark Pattern,0
Wondering where to buy White Cloud products in the U.S.? Our distributor list is growing! Bookmark our list and stay tuned!,Not Dark Pattern,0
Synthesis E-MTB Carbon Wheelset,Not Dark Pattern,0
 Lawn Mowers ,Not Dark Pattern,0
 Low Price Guarantee ,Not Dark Pattern,0
 Our Story ,Not Dark Pattern,0
Be the first to get updates as well as access to exclusive offers and promotions,Not Dark Pattern,0
Limited Time Offers,Urgency,3
Hurry! Limited Quantity Available.,Scarcity,1
Shop Safely And Securely,Not Dark Pattern,0
Personalize your doll,Misdirection,4
Remove selected car filter,Not Dark Pattern,0
Temporary Tattoos,Not Dark Pattern,0
AccessoriesCar AccessoriesDressesFootwearHome & OfficeJacketsLawn & OutdoorsPantsPolosShirts & SweatersShortsSleepwear & UnderwearSwim CollectionTailgatingSale Items- View All -,Not Dark Pattern,0
 More Sports ,Not Dark Pattern,0
Strength & Functional Training,Not Dark Pattern,0
39 people have this in their cart,Social Proof,2
"No thanks, I don't like promotions and exclusive content.",Misdirection,4
NFL Enterprises LLC. All Rights Reserved.,Not Dark Pattern,0
 Rechargeable ,Not Dark Pattern,0
HomeFlowersColourful Mixed Roses Bouquet,Not Dark Pattern,0
Just BEE Queen,Not Dark Pattern,0
"THE COMPETITION $1,299.99",Misdirection,4
No thanks! I don't like deals,Misdirection,4
"Jumpers, Shirts & T-Shirts",Not Dark Pattern,0
Only 1 Item Left!,Scarcity,1
Low Stock – Selling Fast,Scarcity,1
Only few items left in stock,Scarcity,1
SRX Remotes,Not Dark Pattern,0
"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",Social Proof,2
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,Urgency,3
"NO THANKS, I'll PAY FULL PRICE",Misdirection,4
 Upcoming Events ,Not Dark Pattern,0
Prices subject to change without notice. Products shown may not be available in our stores.,Not Dark Pattern,0
Womens Plaid Clothing,Not Dark Pattern,0
19 people have viewed this item,Social Proof,2
Limited Time Offer!,Urgency,3
 Share on Pinterest ,Not Dark Pattern,0
Only 1.75 yards left in stock!,Scarcity,1
Mechanic's Wear,Not Dark Pattern,0
"NO, I DON'T FEEL LUCKY",Misdirection,4
Beetle Remotes,Not Dark Pattern,0
Only 4 left at this price,Scarcity,1
Hurry Up! Only 1 Piece Left,Scarcity,1
"Metal - Brass , hollow from inside ",Not Dark Pattern,0
Heat Mats & Strips,Not Dark Pattern,0
 Please try again ,Not Dark Pattern,0
308 viewed per day,Social Proof,2
BABY BOYSShoesClothingAccessories,Not Dark Pattern,0
 Bob Ross Oil Brushes ,Not Dark Pattern,0
"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",Social Proof,2
Only 7 left,Scarcity,1
"The Dry Direct Ultimate is a great product, the best we have found. Customer service is very efficient, and deliveries have always been on time. We are very satisfied with Parentgiving in all aspects.",Not Dark Pattern,0
Only 3 left.,Scarcity,1
228 People Have Viewed This Product Recently!,Social Proof,2
96 ITEM(S) LEFT IN STOCK!,Scarcity,1
Limited Stock,Scarcity,1
Only 1 left,Scarcity,1
Hurry only 1 left!,Scarcity,1
 手錶 / Watches ,Not Dark Pattern,0
Product Tagline,Not Dark Pattern,0
Accuscreens,Not Dark Pattern,0
"No thanks, I don't like savings",Misdirection,4
Currently 8 left in stock.,Scarcity,1
 Active Filters English (United States) English (United States) ✘ Remove Filter ,Not Dark Pattern,0
LightInTheBox 掲載記事,Not Dark Pattern,0
2+ people just viewed this product,Social Proof,2
I don't want a discount,Misdirection,4
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Social Proof,2
Only 1 Left in Stock!,Scarcity,1
"Michael M. from Lacey, WA just bought a Cal King",Social Proof,2
"No Thanks, I Prefer Paying Full Price.",Misdirection,4
Buy with humm.,Not Dark Pattern,0
"No, I don't feel lucky",Misdirection,4
"Mounif in Pittsburgh, United States purchased",Social Proof,2
Hurry! Only 7 left in stock.,Scarcity,1
 View In Your Room ,Not Dark Pattern,0
"Someone from Portland, United States (US) purchased MODALERT recently.",Social Proof,2
"No thanks, I don't want discount",Misdirection,4
Limited time - Free Shipping on all orders*,Urgency,3
 Sprouting ,Not Dark Pattern,0
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Not Dark Pattern,0
We use cookies to give you the best experience possible. No personal information is stored. Using this website means that you are ok with this cookie policy.,Not Dark Pattern,0
"No thanks, I don't like getting free stuff.",Misdirection,4
6 people have looked at this in the last few hrs.,Social Proof,2
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Social Proof,2
In Stock only 3 left,Scarcity,1
 Heart Shaped Cake ,Not Dark Pattern,0
Straight Hair Extensions,Not Dark Pattern,0
We curate the very best in creative and innovative fashion for the EDM Lifestyle. ,Not Dark Pattern,0
 Menu Search ,Not Dark Pattern,0
LAST CHANCE TO ACTIVATE 10% OFF,Scarcity,1
In Stock. Only 1 Left!,Scarcity,1
Bath Bombs & Salts,Not Dark Pattern,0
00:15:07:45,Urgency,3
Authenticity Guaranteed,Not Dark Pattern,0
No thanks - I don't want to save money,Misdirection,4
Cart will expire in 08:19 minutes!,Urgency,3
161 people have viewed this item,Social Proof,2
Only 11 left!,Scarcity,1
Transmission and Driveline,Not Dark Pattern,0
Shop Dresses by Occasion,Not Dark Pattern,0
Only 13 left!,Scarcity,1
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Social Proof,2
"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",Social Proof,2
"Jeremy in Warroad, United States purchased a",Social Proof,2
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,Social Proof,2
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Social Proof,2
Influencer Program,Not Dark Pattern,0
HURRY! ONLY 58 LEFT IN STOCK!,Scarcity,1
 Contact Support ,Not Dark Pattern,0
Wallets ,Not Dark Pattern,0
 EDC-V Megalodon Bottle Opener - Brass (Exclusive),Not Dark Pattern,0
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Social Proof,2
Only 32 left in stock,Scarcity,1
Only 3 items left,Scarcity,1
Household,Not Dark Pattern,0
More than 752 users are adding shapewear to their cart. Is your size left?,Social Proof,2
Royal Python Vivariums,Not Dark Pattern,0
 Italy € EUR ,Not Dark Pattern,0
Don't miss out on this item! There is only 1 left in stock.,Scarcity,1
Product Recycling,Not Dark Pattern,0
8 people have this in their bag right now.,Social Proof,2
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Social Proof,2
You can either livechat or email our support team with any questions or concerns. We are always ready to help. ,Not Dark Pattern,0
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",Social Proof,2
DEAL ENDS IN 40:55:13,Urgency,3
Offer ends in 03 days 19 hours : 54 mins : 22 secs,Urgency,3
LIMITED OFFER: $125 Off + 2 Free Pillows,Urgency,3
 Accessibility statement ,Not Dark Pattern,0
ON SALE AT $1.99 FOR A LIMITED TIME,Urgency,3
WARNING! Only 5 left in stock!,Scarcity,1
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Social Proof,2
Availability: Low in stock today,Scarcity,1
Brand: Ray-Ban® | Similar products from Ray-Ban®,Not Dark Pattern,0
"ONLY 5 LEFT, ORDER SOON!",Scarcity,1
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Social Proof,2
 Kyanite Beads ,Not Dark Pattern,0
Limited Time Remaining!,Urgency,3
"Bobby in Decatur, United States just purchased",Social Proof,2
Performance Cookies,Not Dark Pattern,0
HURRY! ONLY 1 IN STOCK!,Scarcity,1
Items reserved for 15:00,Urgency,3
Hair Care Remedies,Not Dark Pattern,0
Flowers Trivia:,Not Dark Pattern,0
Would you like to purchase an Extended Protection Plan?,Misdirection,4
Arrow,Not Dark Pattern,0
Your shopping cart is empty.,Not Dark Pattern,0
 First name * ,Not Dark Pattern,0
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,Urgency,3
on Freight,Not Dark Pattern,0
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,Urgency,3
 Dry Direct Incontinence Personal Care Daily Living Safety Bedroom Nutrition Mobility Lift Aids Medical Supplies Plus Size ,Not Dark Pattern,0
This campaign was taken down for content reasons,Not Dark Pattern,0
✕,Not Dark Pattern,0
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,Urgency,3
"No thanks, I want to pay the full price.",Misdirection,4
Down Jackets,Not Dark Pattern,0
Shop Tops by Pattern,Not Dark Pattern,0
 sales@scandinavianoutdoor.com ,Not Dark Pattern,0
Limited Time Only · Online Only,Urgency,3
Wireless Microphone,Not Dark Pattern,0
about us,Not Dark Pattern,0
Accord remotes,Not Dark Pattern,0
 VIP Points! ,Not Dark Pattern,0
 BACK TO TOP ,Not Dark Pattern,0
LEGO Sondersets Saison Polybags Promotionals ExklusiveOpens in a new window or tab,Not Dark Pattern,0
 Supply & Demand ,Not Dark Pattern,0
No I don't feel lucky,Misdirection,4
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Social Proof,2
Only 8 Left!,Scarcity,1
Deals of the Week,Not Dark Pattern,0
Kimberly R.,Not Dark Pattern,0
Only 1 in stock,Scarcity,1
218 people have added this item to cart,Social Proof,2
Limited Time!,Urgency,3
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Not Dark Pattern,0
Your AccountTrack Your OrdersJoin Celebrations Passport,Not Dark Pattern,0
RegionBracket Right,Not Dark Pattern,0
- +,Not Dark Pattern,0
Harry Potter ,Not Dark Pattern,0
Competitions,Not Dark Pattern,0
FRAMON #2 Code Machine Offer - Limited time offer!,Urgency,3
SUBSCRIPTION SUCCESSFUL. THANK YOU!,Not Dark Pattern,0
24 people currently interested,Social Proof,2
Countdown,Not Dark Pattern,0
"Oscar from Cajamarca, Peru purchased",Social Proof,2
No thanks. I don’t want deals.,Misdirection,4
Hurry Low Stock,Scarcity,1
TRE by Natalie Ratabesi,Not Dark Pattern,0
Last purchased at 11:19am today.,Social Proof,2
ONLY 4 LEFT,Scarcity,1
 Low Maintenance Plants ,Not Dark Pattern,0
Lack Of Color,Not Dark Pattern,0
Only 1 left!,Scarcity,1
67% offers claimed. Hurry up!,Scarcity,1
 Year of Ours ,Not Dark Pattern,0
"Clothes, Shoes & Accessories",Not Dark Pattern,0
 ₪ ILS ,Not Dark Pattern,0
I'd rather not save,Misdirection,4
View all,Not Dark Pattern,0
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",Social Proof,2
Lip Balms & Treatments,Not Dark Pattern,0
4 days 05:46:20,Urgency,3
"Fancy some creative inspiration, news and offers? Sign up for SAA enewsletters today.",Not Dark Pattern,0
Warne Mounts,Not Dark Pattern,0
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Urgency,3
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",Not Dark Pattern,0
Only 9 items left!,Scarcity,1
Your order is reserved for 19:57 minutes.,Urgency,3
LIMITED TIME SALE,Urgency,3
3 Left!,Scarcity,1
FLASH 19:15:22,Urgency,3
 powered by: Cookie Information ,Not Dark Pattern,0
 Women's Bags ,Not Dark Pattern,0
137 users are currently active on our website,Social Proof,2
"No thanks, I don't want to look my best",Misdirection,4
Only 8 item(s) left.,Scarcity,1
Only 10 left in stock,Scarcity,1
Why I chose this:,Not Dark Pattern,0
Limited Quantity Available,Scarcity,1
Order by these dates to get it by Valentine's Day.*,Not Dark Pattern,0
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),Urgency,3
16 recently purchased it.,Social Proof,2
Graphic Tanks,Not Dark Pattern,0
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Urgency,3
LOW STOCK: Only 1 left.,Scarcity,1
Promaster City Remotes,Not Dark Pattern,0
3 PEOPLE VIEWING,Social Proof,2
Limited Time,Urgency,3
Newborn & InfantYouthAdjustableFlexSnapbacksSale Items- View All -,Not Dark Pattern,0
Almost Sold Out! Only 2 Left.,Scarcity,1
Icon MTB Socks - Black/Green,Not Dark Pattern,0
38 people are viewing this,Social Proof,2
7 customers have this in their basket,Social Proof,2
Only 4 left in this size!,Scarcity,1
Hurry up! 22 people other than you have this product in their cart,Social Proof,2
"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",Social Proof,2
Adjustable Cuffs With Inner Knitted Cuff,Not Dark Pattern,0
Pre-order 3 left,Scarcity,1
Sara from Philadelphia just saved $68 on her order.,Social Proof,2
Crochet Baby Patterns,Not Dark Pattern,0
"Hurry, only 6 left in stock!",Scarcity,1
No I'd rather not hear about exclusive offers and discounts.,Misdirection,4
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",Social Proof,2
HURRY! ONLY 2 LEFT!,Scarcity,1
Only 8 item(s) left,Scarcity,1
89 currently viewing,Social Proof,2
 This is a green tea without the bitterness. ,Not Dark Pattern,0
 cm in ,Not Dark Pattern,0
Free climate compensated shipping & returns,Not Dark Pattern,0
 Mitre Saws ,Not Dark Pattern,0
STOCK IS GUARANTEED FOR 60 MINUTES,Urgency,3
Items in your cart are in high demand.,Scarcity,1
LOW STOCK (ONLY 10 LEFT!),Scarcity,1
 What's New New arrivals daily ,Not Dark Pattern,0
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",Not Dark Pattern,0
Hair type: Wavy,Not Dark Pattern,0
"No thanks, I’d rather pay more",Misdirection,4
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Urgency,3
"Someone in Chambersburg, Pennsylvania purchased",Social Proof,2
HURRY! Only a few left in stock!,Scarcity,1
TWO FREE PILLOWS AND 30% OFF WITH PROMO CODE,Misdirection,4
Reloading Tools,Not Dark Pattern,0
 Menstrual Products ,Not Dark Pattern,0
· Physical Healing,Not Dark Pattern,0
 Don't leave without taking discount ,Not Dark Pattern,0
ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,Urgency,3
"ONCE IT'S GONE, IT'S GONE",Scarcity,1
273 units sold in the last 30 days,Social Proof,2
BROKEN REMOTE? FIX IT YOURSELF AND SAVE HUGE,Not Dark Pattern,0
 Outdoor Recreation ,Not Dark Pattern,0
Only 3 left in stock,Scarcity,1
"No thanks, I'll pay full price!",Misdirection,4
ONLY 20 LEFT IN STOCK,Scarcity,1
Lasers ,Not Dark Pattern,0
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",Misdirection,4
Sale Clothing,Not Dark Pattern,0
 Need Help Finding The Right Product? ,Not Dark Pattern,0
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Urgency,3
 Gift Cards Collection ,Not Dark Pattern,0
"Carl F. from Fort Ann, NY bought a King",Social Proof,2
 Lens Manual Washer ,Not Dark Pattern,0
Elegant A Line Chiffon V-neck Long Sleeve Bridesmaid Dress with Pleats and Ruching,Not Dark Pattern,0
"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",Social Proof,2
 Black / White Refine by Color: Black / White ,Not Dark Pattern,0
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",Social Proof,2
92 customers bought this in the last 48 hours,Social Proof,2
1 people are viewing this currently,Social Proof,2
"Mher from San Angelo, TX Recently made a purchase with Crossrope",Social Proof,2
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Social Proof,2
Functional Cookies,Not Dark Pattern,0
"They look really good with my brown eyes, and they look pretty natural.",Not Dark Pattern,0
 adidas Originals Stan Smith ,Not Dark Pattern,0
 All Licensed ,Not Dark Pattern,0
Rate & Review ,Not Dark Pattern,0
Only a few left!,Scarcity,1
"Hurry, Only 4 Left In Stock. Buy Now!",Scarcity,1
Cooper Remotes,Not Dark Pattern,0
I have green eyes and with these bright green contacts makes my eyes look out of this world amazing. I love them and they have lasted months!!,Not Dark Pattern,0
M-Class Remotes,Not Dark Pattern,0
View All New Arrivals,Not Dark Pattern,0
9 sold in last 4 hours,Social Proof,2
 No reviews yet Write a review ,Not Dark Pattern,0
Country (Optional),Not Dark Pattern,0
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Urgency,3
ONLY AVAILABLE FOR A LIMITED TIME,Urgency,3
ONLY 3 LEFT,Scarcity,1
 Comfy and looks great ,Not Dark Pattern,0
 Functional Marketing Cookies,Not Dark Pattern,0
Someone from Airdrie & 10820 others bought this item recently.,Social Proof,2
Baby Cross Stitch & Embroidery Patterns,Not Dark Pattern,0
Hair treatments,Not Dark Pattern,0
In demand,Scarcity,1
Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,Social Proof,2
 View All Mattress Accessories ,Not Dark Pattern,0
ONLY 1 ITEM LEFT,Scarcity,1
Platinum-Dipped Rose,Not Dark Pattern,0
0 DAYS22 HOURS13 MINUTES21 SECONDS ,Urgency,3
 Laundry & Cleaning ,Not Dark Pattern,0
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Social Proof,2
 Temple Locks ,Not Dark Pattern,0
-90% discount if you order within 9:55:44,Urgency,3
1 LEFT,Scarcity,1
 Title of Review ,Not Dark Pattern,0
"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. ",Not Dark Pattern,0
Receive news and updates on new products,Not Dark Pattern,0
Get Personalised Health PlanGet Health Plan,Not Dark Pattern,0
994 items sold this hour.,Social Proof,2
Body Washes,Not Dark Pattern,0
Pick the price that matches your budget. ,Not Dark Pattern,0
Work Solid Simple Crew Neck Half Sleeve Top,Not Dark Pattern,0
Less than 10 left in stock,Scarcity,1
"Someone in Sasebo, Japan just bought",Social Proof,2
 Home » ,Not Dark Pattern,0
Prices shown for delivery to JAPAN Change delivery country,Not Dark Pattern,0
Focus remotes,Not Dark Pattern,0
Select Occasion close,Not Dark Pattern,0
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Scarcity,1
 Baby & Toddler Toys ,Not Dark Pattern,0
Hurry! Only a few of these left,Scarcity,1
Media Players,Not Dark Pattern,0
new merch coming soon,Not Dark Pattern,0
Amazing service and quality! Lee up the excellent work.,Not Dark Pattern,0
1 left in stock,Scarcity,1
$69.50 For A Limited Time Details,Urgency,3
Lace Front African American Wigs,Not Dark Pattern,0
1 in stock,Scarcity,1
 Gemstone softwares ,Not Dark Pattern,0
Sellout risk:,Scarcity,1
The Hoop Destination. Discover more,Not Dark Pattern,0
"No Thanks, I'll let this offer sail away",Misdirection,4
 Printed Long Sleeves Casual Blouse For Women ,Not Dark Pattern,0
"For instance, we use cookies allowing us to remember information provided by the users from a page to another, choices made by users and information provided by users (name, language preference, country of residence…). In particular, we use the following functional cookies: ",Not Dark Pattern,0
"Leah Rich in Louisville, United States purchased a",Social Proof,2
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Urgency,3
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Urgency,3
FAMILY SHADE PACK | PICK YOUR PACK,Not Dark Pattern,0
Tidal Waves Collection,Not Dark Pattern,0
 Intercoastal Performance Pant - True Navy ,Not Dark Pattern,0
 Women's Sandals ,Not Dark Pattern,0
" Port, Sherry & Sweet Wine ",Not Dark Pattern,0
Solar Powered Paw Print Ground Light,Not Dark Pattern,0
Joybird Design House,Not Dark Pattern,0
Only 2 items left in stock.,Scarcity,1
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,Not Dark Pattern,0
02:06:40 left to buy,Urgency,3
Crystal Shivlingas ,Not Dark Pattern,0
 Amethyst Beads ,Not Dark Pattern,0
The product you requested is not available in the selected country,Not Dark Pattern,0
View Alternatives,Not Dark Pattern,0
"No Thanks, I Prefer Paying Full Price",Misdirection,4
Going Fast: Limited Quantities Left!,Scarcity,1
"Israël in Metz, France purchased a More ADVANCED Chord Substitutions",Social Proof,2
"LOW IN STOCK, only 2 left",Scarcity,1
Game Extraction & Prep,Not Dark Pattern,0
 Sign In / Join ,Not Dark Pattern,0
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",Not Dark Pattern,0
HURRY! ONLY 31 LEFT IN STOCK.,Scarcity,1
Romantic Ball Gown Tulle Spaghetti Sleeveless Tier Flower Dirl Dress,Not Dark Pattern,0
With 1-year Care Subscription 10 days history,Misdirection,4
5 LEFT,Scarcity,1
 Ireland EUR,Not Dark Pattern,0
"Mother’s Day is undoubtedly a significant occasion for all mothers. But, for the new moms, it is even more special. If you........... Read More...",Not Dark Pattern,0
Only 8 left,Scarcity,1
 Landofcoder can power almost ANY marketplace you think of,Not Dark Pattern,0
Crossman Air Pistols,Not Dark Pattern,0
"no thanks, I like paying full price",Misdirection,4
"128 sold today! Hurry, only a few left!",Scarcity,1
ONLY 9 LEFT,Scarcity,1
 For Wife ,Not Dark Pattern,0
 Add to Cart ,Not Dark Pattern,0
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Social Proof,2
Child Safety,Not Dark Pattern,0
Order in 13:16 to get $200 off your mattress,Urgency,3
New In Special Occasion,Not Dark Pattern,0
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark Pattern,0
21 people looked at this during the last 24 hours,Social Proof,2
 Write a reviewAsk a question,Not Dark Pattern,0
Show Cart,Not Dark Pattern,0
Light Works,Not Dark Pattern,0
17 people have viewed this wine today,Social Proof,2
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Urgency,3
1 item left,Scarcity,1
 Bra Panty Set ,Not Dark Pattern,0
"Sorry, this is out of stock. You just missed it.",Scarcity,1
Girls Trousers,Not Dark Pattern,0
Wait! Take 10% off Your First Order Deal Expires Soon!,Urgency,3
"No thanks, I'm not interested",Misdirection,4
I absolutely loved it! It made everyone laugh and my desk gets an obscene amount of compliments for it. The quality is superb! I am now definitely going to be a loyal shopper at PosterGully,Not Dark Pattern,0
85 have it in their cart,Social Proof,2
 Most-Hearted Styles Shop Now ,Not Dark Pattern,0
Other Promotions,Not Dark Pattern,0
Material: Made with Cordura fabric,Not Dark Pattern,0
No thanks I definitely measured correctly,Misdirection,4
 CAMILLA World ,Not Dark Pattern,0
87% offers claimed. Hurry up!,Scarcity,1
Availability: 5 items left,Scarcity,1
Jewelry and Watches,Not Dark Pattern,0
